column_name,na_num,unable_fill_na,na_rate,unable_fill_na_rate,file
單價元平方公尺,9,0,0.08,0.0,group0_DIST.csv
單價元平方公尺,17,0,0.15,0.0,group0_DIST.csv
單價元平方公尺,9,0,0.08,0.0,group0_DIST.csv
單價元平方公尺,0,0,0.0,0.0,group0_DIST.csv
單價元平方公尺,13,0,0.11,0.0,group0_DIST.csv
單價元平方公尺,9,0,0.08,0.0,group10_DIST.csv
單價元平方公尺,41,0,0.35,0.0,group10_DIST.csv
單價元平方公尺,34,0,0.29,0.0,group10_DIST.csv
單價元平方公尺,5,0,0.04,0.0,group10_DIST.csv
單價元平方公尺,26,0,0.22,0.0,group10_DIST.csv
單價元平方公尺,1,0,0.01,0.0,group1_DIST.csv
單價元平方公尺,18,0,0.15,0.0,group1_DIST.csv
單價元平方公尺,7,0,0.06,0.0,group1_DIST.csv
單價元平方公尺,30,0,0.26,0.0,group1_DIST.csv
單價元平方公尺,13,0,0.11,0.0,group1_DIST.csv
單價元平方公尺,34,0,0.29,0.0,group2_DIST.csv
單價元平方公尺,37,0,0.32,0.0,group2_DIST.csv
單價元平方公尺,11,0,0.09,0.0,group2_DIST.csv
單價元平方公尺,15,0,0.13,0.0,group2_DIST.csv
單價元平方公尺,30,0,0.26,0.0,group2_DIST.csv
單價元平方公尺,5,0,0.04,0.0,group3_DIST.csv
單價元平方公尺,2,0,0.02,0.0,group3_DIST.csv
單價元平方公尺,18,0,0.15,0.0,group3_DIST.csv
單價元平方公尺,41,0,0.35,0.0,group3_DIST.csv
單價元平方公尺,2,0,0.02,0.0,group3_DIST.csv
單價元平方公尺,15,0,0.13,0.0,group4_DIST.csv
單價元平方公尺,29,0,0.25,0.0,group4_DIST.csv
單價元平方公尺,11,0,0.09,0.0,group4_DIST.csv
單價元平方公尺,38,0,0.32,0.0,group4_DIST.csv
單價元平方公尺,24,0,0.21,0.0,group4_DIST.csv
單價元平方公尺,25,0,0.21,0.0,group5_DIST.csv
單價元平方公尺,72,0,0.62,0.0,group5_DIST.csv
單價元平方公尺,69,0,0.59,0.0,group5_DIST.csv
單價元平方公尺,22,0,0.19,0.0,group5_DIST.csv
單價元平方公尺,85,0,0.73,0.0,group5_DIST.csv
單價元平方公尺,35,0,0.3,0.0,group6_DIST.csv
單價元平方公尺,26,0,0.22,0.0,group6_DIST.csv
單價元平方公尺,49,0,0.42,0.0,group6_DIST.csv
單價元平方公尺,69,0,0.59,0.0,group6_DIST.csv
單價元平方公尺,74,0,0.63,0.0,group6_DIST.csv
單價元平方公尺,6,0,0.05,0.0,group7_DIST.csv
單價元平方公尺,36,0,0.31,0.0,group7_DIST.csv
單價元平方公尺,57,0,0.49,0.0,group7_DIST.csv
單價元平方公尺,39,0,0.33,0.0,group7_DIST.csv
單價元平方公尺,35,0,0.3,0.0,group7_DIST.csv
單價元平方公尺,22,0,0.19,0.0,group8_DIST.csv
單價元平方公尺,117,0,1.0,0.0,group8_DIST.csv
單價元平方公尺,43,0,0.37,0.0,group8_DIST.csv
單價元平方公尺,20,0,0.17,0.0,group8_DIST.csv
單價元平方公尺,116,0,0.99,0.0,group8_DIST.csv
單價元平方公尺,34,0,0.29,0.0,group9_DIST.csv
單價元平方公尺,60,0,0.51,0.0,group9_DIST.csv
單價元平方公尺,58,0,0.5,0.0,group9_DIST.csv
單價元平方公尺,12,0,0.1,0.0,group9_DIST.csv
單價元平方公尺,66,0,0.56,0.0,group9_DIST.csv
